track_id,original_audio_id,label,score,n_segments,prediction,run_id,holdout_generator,model,variant,cohort,split,level,threshold
sample_00223,Terve Teille - Чокнутый Пропеллер,0,0.11049396047989524,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00252,Troubles I've seen - Malaventura,0,0.2098525799810886,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00253,Ugh! Humans Can Join - Mystery Mammal,0,0.13903384283185,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00270,Where Is Everything - The Moi Non Plus,0,0.021744474613418167,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00271,Who Loves You Dear - Mink Lungs,0,0.0535352402366697,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02389,Dance Harder - Three Chain Links,1,0.8261904120445251,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02390,Dance Harder - Three Chain Links,1,0.5827572345733643,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02401,Fuckaboing - RoccoW,1,0.877282440662384,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02402,Fuckaboing - RoccoW,1,0.1467009770373503,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02417,Night Owl - Broke For Free,1,0.4179073174794515,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02418,Night Owl - Broke For Free,1,0.33393604060014087,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02437,Pista Afuera - Epstein,1,0.35223263998826343,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02438,Pista Afuera - Epstein,1,0.542061855395635,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02441,Realize Me - Jim Rooster,1,0.29474857449531555,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02442,Realize Me - Jim Rooster,1,0.2729492308571934,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02443,Resistentialism - Nihilore,1,0.9023018479347229,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02444,Resistentialism - Nihilore,1,0.5885864992936453,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02465,Ugh! Humans Can Join - Mystery Mammal,1,0.8138079047203064,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02466,Ugh! Humans Can Join - Mystery Mammal,1,0.40475576122601825,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02483,Different Day - First,1,0.43380677700042725,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02484,Different Day - First,1,0.432044913371404,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02493,"Hungry - Oh Yeah, the Future",1,0.2255766068895658,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02494,"Hungry - Oh Yeah, the Future",1,0.09247280408938723,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02515,Motocross Mania - Monroeville Music Center,1,0.7355781892935435,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02516,Motocross Mania - Monroeville Music Center,1,0.4181193709373474,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02517,Music For an Underground Circu - Ergo Phizmiz,1,0.391221359372139,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02518,Music For an Underground Circu - Ergo Phizmiz,1,0.30155290663242335,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02537,She Works / Tepid Waters - Bird Names,1,0.028201241356631063,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02538,She Works / Tepid Waters - Bird Names,1,0.0307266842573881,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02541,Something Dirty - Ergo Phizmiz,1,0.3957704504330953,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02542,Something Dirty - Ergo Phizmiz,1,0.5682973066965739,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02561,Troubles I've seen - Malaventura,1,0.7935155034065247,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02562,Troubles I've seen - Malaventura,1,0.40915342171986896,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02575,Attention - Pete Prodoehl,1,0.3351642886797587,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02576,Attention - Pete Prodoehl,1,0.0663170469924807,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02591,"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",1,0.42805445939302444,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02592,"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",1,0.050081914290785734,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02599,I - Inflammator,1,0.19982904444138205,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02600,I - Inflammator,1,0.4743026793003082,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02605,LIQUID SKULLS - voyageurs,1,0.5774891177813212,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02606,LIQUID SKULLS - voyageurs,1,0.5377744833628336,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02609,Love Dream - The Zombie Dandies,1,0.4900575280189514,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02610,Love Dream - The Zombie Dandies,1,0.13479865094025925,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02635,Sfogare Il Dissenso - Deiezione HC,1,0.4034083882967631,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02636,Sfogare Il Dissenso - Deiezione HC,1,0.43110822637875873,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02643,Stuttgart - Portrayal,1,0.3183650771776835,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02644,Stuttgart - Portrayal,1,0.44807755450407666,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02645,Terve Teille - Чокнутый Пропеллер,1,0.07209410890936847,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02646,Terve Teille - Чокнутый Пропеллер,1,0.43864884475866955,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02659,Where Is Everything - The Moi Non Plus,1,0.258717214067777,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02660,Where Is Everything - The Moi Non Plus,1,0.5272501309712728,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02661,Who Loves You Dear - Mink Lungs,1,0.13916462163130436,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_02662,Who Loves You Dear - Mink Lungs,1,0.27957138667503995,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
